Node_ID,gap_start,gap_end,elapsed_minutes,nominal_interval_minutes,approx_missing_readings
3,3/13/2022 0:07,3/13/2022 0:48,41,20,1
3,3/13/2022 1:26,3/13/2022 2:06,40,20,1
3,3/13/2022 9:24,3/13/2022 10:44,80,20,3
3,3/13/2022 19:42,3/13/2022 22:21,159,20,7
3,3/14/2022 14:17,3/14/2022 14:57,40,20,1
3,3/15/2022 15:10,3/15/2022 15:50,40,20,1
3,3/15/2022 15:50,3/15/2022 16:30,40,20,1
3,3/15/2022 17:29,3/15/2022 18:09,40,20,1
3,3/15/2022 19:09,3/15/2022 20:09,60,20,2
3,3/17/2022 18:36,3/17/2022 19:16,40,20,1
3,3/18/2022 4:14,3/18/2022 4:53,39,20,1
3,3/18/2022 22:09,3/19/2022 2:08,239,20,11
3,3/19/2022 11:45,3/19/2022 13:45,120,20,5
3,3/19/2022 13:45,3/19/2022 22:42,537,20,26
3,3/20/2022 11:59,3/20/2022 22:16,617,20,30
3,3/20/2022 22:16,3/20/2022 22:56,40,20,1
3,3/21/2022 14:12,3/21/2022 14:51,39,20,1
3,3/21/2022 18:11,3/21/2022 18:50,39,20,1
3,3/21/2022 21:30,3/21/2022 22:09,39,20,1
3,3/21/2022 22:09,3/21/2022 22:49,40,20,1
3,3/22/2022 4:08,3/22/2022 4:48,40,20,1
3,3/22/2022 6:07,3/22/2022 7:07,60,20,2
3,3/22/2022 8:07,3/22/2022 8:46,39,20,1
3,3/22/2022 18:04,3/22/2022 18:44,40,20,1
3,3/22/2022 21:03,3/22/2022 21:43,40,20,1
3,3/23/2022 3:02,3/23/2022 3:41,39,20,1
3,3/23/2022 15:38,3/23/2022 16:18,40,20,1
3,3/24/2022 2:15,3/24/2022 3:15,60,20,2
3,3/24/2022 6:34,3/24/2022 7:14,40,20,1
3,3/24/2022 7:34,3/24/2022 8:34,60,20,2
3,3/24/2022 8:54,3/24/2022 9:34,40,20,1
3,3/25/2022 2:49,3/25/2022 3:29,40,20,1
3,3/25/2022 11:46,3/25/2022 12:26,40,20,1
3,3/25/2022 13:06,3/25/2022 13:46,40,20,1
3,3/26/2022 20:38,3/26/2022 21:17,39,20,1
3,3/27/2022 11:53,3/27/2022 21:31,578,20,28
3,3/28/2022 7:28,3/28/2022 8:08,40,20,1
3,3/28/2022 15:06,3/28/2022 15:46,40,20,1
3,3/28/2022 17:26,3/28/2022 18:05,39,20,1
3,3/28/2022 18:25,3/28/2022 19:05,40,20,1
3,3/28/2022 22:44,3/28/2022 23:24,40,20,1
3,3/29/2022 1:03,3/29/2022 1:43,40,20,1
3,3/29/2022 7:22,3/29/2022 8:01,39,20,1
3,3/29/2022 8:21,3/29/2022 9:01,40,20,1
3,3/29/2022 10:01,3/29/2022 10:41,40,20,1
3,3/29/2022 12:20,3/29/2022 13:00,40,20,1
3,3/29/2022 16:59,3/29/2022 17:39,40,20,1
3,3/30/2022 9:15,3/30/2022 9:54,39,20,1
3,3/30/2022 12:34,3/30/2022 13:13,39,20,1
3,3/30/2022 15:53,3/30/2022 16:32,39,20,1
3,3/30/2022 20:31,3/30/2022 21:11,40,20,1
4,3/10/2022 0:41,3/10/2022 3:00,139,20,6
4,3/11/2022 11:12,3/11/2022 22:09,657,20,32
4,3/12/2022 6:27,3/12/2022 22:23,956,20,47
4,3/13/2022 9:20,3/13/2022 10:39,79,20,3
4,3/13/2022 15:58,3/13/2022 16:38,40,20,1
4,3/13/2022 17:38,3/13/2022 18:18,40,20,1
4,3/13/2022 19:37,3/13/2022 22:16,159,20,7
4,3/14/2022 8:14,3/14/2022 8:53,39,20,1
4,3/15/2022 16:06,3/15/2022 17:05,59,20,2
4,3/18/2022 16:07,3/18/2022 16:47,40,20,1
4,3/18/2022 22:25,3/19/2022 2:04,219,20,10
4,3/19/2022 11:22,3/19/2022 22:39,677,20,33
4,3/20/2022 11:55,3/20/2022 21:53,598,20,29
4,3/21/2022 3:31,3/21/2022 4:11,40,20,1
4,3/21/2022 14:49,3/21/2022 15:29,40,20,1
4,3/21/2022 17:28,3/21/2022 18:08,40,20,1
4,3/22/2022 3:25,3/22/2022 4:05,40,20,1
4,3/23/2022 8:38,3/23/2022 9:18,40,20,1
4,3/23/2022 11:17,3/23/2022 11:57,40,20,1
4,3/23/2022 12:57,3/23/2022 13:37,40,20,1
4,3/24/2022 5:13,3/24/2022 5:52,39,20,1
4,3/24/2022 12:51,3/24/2022 13:31,40,20,1
4,3/27/2022 11:52,3/27/2022 21:30,578,20,28
4,3/28/2022 18:44,3/28/2022 19:24,40,20,1
4,3/28/2022 19:24,3/28/2022 20:04,40,20,1
4,3/28/2022 22:43,3/28/2022 23:23,40,20,1
4,3/29/2022 4:22,3/29/2022 5:02,40,20,1
4,3/29/2022 5:02,3/29/2022 5:41,39,20,1
4,3/29/2022 7:01,3/29/2022 7:41,40,20,1
4,3/29/2022 8:41,3/29/2022 9:20,39,20,1
4,3/29/2022 13:00,3/29/2022 13:40,40,20,1
4,3/29/2022 23:17,3/29/2022 23:57,40,20,1
4,3/30/2022 4:36,3/30/2022 5:55,79,20,3
4,3/30/2022 19:52,3/30/2022 20:31,39,20,1
5,3/9/2022 14:57,3/9/2022 15:37,40,20,1
5,3/9/2022 19:56,3/9/2022 20:36,40,20,1
5,3/9/2022 22:55,3/9/2022 23:35,40,20,1
5,3/10/2022 0:35,3/10/2022 2:54,139,20,6
5,3/10/2022 2:54,3/10/2022 3:34,40,20,1
5,3/10/2022 4:33,3/10/2022 5:13,40,20,1
5,3/10/2022 7:13,3/10/2022 7:52,39,20,1
5,3/11/2022 11:05,3/11/2022 22:02,657,20,32
5,3/12/2022 1:01,3/12/2022 1:41,40,20,1
5,3/12/2022 6:39,3/12/2022 22:15,936,20,46
5,3/13/2022 0:14,3/13/2022 0:54,40,20,1
